total_model_parameters,epochs,batch_size,max_lr,min_lr,anneal_perc,max_mom,min_mom,time_taken,train_acc,test_acc,wd,train_loss,test_loss,runs,log_time,comments
343264,2,25,0.4,1e-06,0.15,0.95,0.8,3.415131092071533,0.1,0.16,0.0005,2.5000096130371094,2.3720059967041016,"{'epoch': [1, 2], 'time': [1.7965106964111328, 3.411170244216919], 'lr': [0.04000000000000001, 0.020000500000000004], 'train_acc': [0.12, 0.1], 'test_acc': [0.16, 0.16], 'train_loss': [2.480979995727539, 2.5000096130371094], 'test_loss': [2.5707170867919924, 2.3720059967041016]}",2019-09-02 07:30:30,R
343264,2,25,0.4,1e-06,0.15,0.95,0.8,3.5022695064544678,0.18,0.08,0.0005,2.2929633331298827,2.2707415008544922,"{'epoch': [1, 2], 'time': [1.8751580715179443, 3.4982967376708984], 'lr': [0.04000000000000001, 0.020000500000000004], 'train_acc': [0.16, 0.18], 'test_acc': [0.06, 0.08], 'train_loss': [2.3237368774414064, 2.2929633331298827], 'test_loss': [2.2583484649658203, 2.2707415008544922]}",2019-09-02 07:30:33,I
343264,2,25,0.4,1e-06,0.15,0.95,0.8,3.469451665878296,0.12,0.18,0.0005,2.4854712677001953,2.272991180419922,"{'epoch': [1, 2], 'time': [1.8109071254730225, 3.464749813079834], 'lr': [0.04000000000000001, 0.020000500000000004], 'train_acc': [0.08, 0.12], 'test_acc': [0.18, 0.18], 'train_loss': [2.5443098449707033, 2.4854712677001953], 'test_loss': [2.3297100830078126, 2.272991180419922]}",2019-09-02 07:30:37,D
343264,2,25,0.4,1e-06,0.15,0.95,0.8,3.5396549701690674,0.08,0.04,0.0005,2.5399446868896485,2.4142027282714844,"{'epoch': [1, 2], 'time': [1.8486883640289307, 3.536036491394043], 'lr': [0.04000000000000001, 0.020000500000000004], 'train_acc': [0.1, 0.08], 'test_acc': [0.04, 0.04], 'train_loss': [2.476683578491211, 2.5399446868896485], 'test_loss': [2.5240528869628904, 2.4142027282714844]}",2019-09-02 07:30:40, 
343264,2,25,0.4,1e-06,0.15,0.95,0.8,3.4435834884643555,0.1,0.02,0.0005,2.369543685913086,2.434778289794922,"{'epoch': [1, 2], 'time': [1.788783073425293, 3.4398088455200195], 'lr': [0.04000000000000001, 0.020000500000000004], 'train_acc': [0.06, 0.1], 'test_acc': [0.04, 0.02], 'train_loss': [2.3950044250488283, 2.369543685913086], 'test_loss': [2.563923568725586, 2.434778289794922]}",2019-09-02 07:30:44,S
343264,2,25,0.4,1e-06,0.15,0.95,0.8,3.5067007541656494,0.06,0.18,0.0005,2.3803179931640623,2.371545715332031,"{'epoch': [1, 2], 'time': [1.8718347549438477, 3.5027012825012207], 'lr': [0.04000000000000001, 0.020000500000000004], 'train_acc': [0.12, 0.06], 'test_acc': [0.18, 0.18], 'train_loss': [2.483126983642578, 2.3803179931640623], 'test_loss': [2.443548812866211, 2.371545715332031]}",2019-09-02 07:30:47,E
343264,2,25,0.4,1e-06,0.15,0.95,0.8,3.4583897590637207,0.12,0.18,0.0005,2.443967514038086,2.368315658569336,"{'epoch': [1, 2], 'time': [1.8352532386779785, 3.4547371864318848], 'lr': [0.04000000000000001, 0.020000500000000004], 'train_acc': [0.12, 0.12], 'test_acc': [0.18, 0.18], 'train_loss': [2.4134590911865232, 2.443967514038086], 'test_loss': [2.5440548706054686, 2.368315658569336]}",2019-09-02 07:30:51,A
343264,2,25,0.4,1e-06,0.15,0.95,0.8,3.4605257511138916,0.02,0.06,0.0005,2.419620361328125,2.366657943725586,"{'epoch': [1, 2], 'time': [1.813793420791626, 3.4569222927093506], 'lr': [0.04000000000000001, 0.020000500000000004], 'train_acc': [0.12, 0.02], 'test_acc': [0.04, 0.06], 'train_loss': [2.4061158752441405, 2.419620361328125], 'test_loss': [2.420657730102539, 2.366657943725586]}",2019-09-02 07:30:54,R
343264,2,25,0.4,1e-06,0.15,0.95,0.8,3.4662299156188965,0.04,0.2,0.0005,2.4414759063720703,2.330026626586914,"{'epoch': [1, 2], 'time': [1.8463711738586426, 3.463315486907959], 'lr': [0.04000000000000001, 0.020000500000000004], 'train_acc': [0.12, 0.04], 'test_acc': [0.1, 0.2], 'train_loss': [2.3219283294677733, 2.4414759063720703], 'test_loss': [2.36784912109375, 2.330026626586914]}",2019-09-02 07:30:58,C
343264,2,25,0.4,1e-06,0.15,0.95,0.8,3.530136823654175,0.04,0.1,0.0005,2.4110135650634765,2.367666931152344,"{'epoch': [1, 2], 'time': [1.8641555309295654, 3.526677370071411], 'lr': [0.04000000000000001, 0.020000500000000004], 'train_acc': [0.14, 0.04], 'test_acc': [0.1, 0.1], 'train_loss': [2.4386744689941406, 2.4110135650634765], 'test_loss': [2.4094098663330077, 2.367666931152344]}",2019-09-02 07:31:01,H
